Day ,Date ,Infected ,Exposed ,Severe  Infected ,Quarantined ,Immunized ,Susceptible ,Dead ,Isolated ,Initial  Exposed ,Susceptible  to  Exposed  transition  constant ,Daily  Quarantine  rate  of  the  Exposed ,Daily  Infected  to  Severe  Infected  transition  rate ,Hospital  Capacity ,Severe  Infected  to  Dead  transition  probability ,Severe  Infected  to  Dead  transition  probability  (Hospital  Cap.  Exceeded) ,Infected  to  Recovery  Immunized  transition  probability ,Disease  transmission  rate  of  Exposed  compared  to  Infected ,Disease  transmission  rate  of  Quarantined  compared  to  Infected ,Disease  transmission  rate  of  Severe  Infected  compared  to  Infected ,Incubation  period  (Days) ,Infection    period  (Days) ,Leakage  ratio ,Traffic  ratio ,Airway ,Railway ,Highway
11,2020-03-11,0.0,0.0,0.0,0.0,0.0,1011515.0,0.0,0.0,0.0,30.0,2.0,1.25,1505.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
12,2020-03-12,0.0,0.0,0.0,0.0,0.0,1011515.0,0.0,0.0,0.0,30.0,2.0,1.25,1505.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
13,2020-03-13,0.0,0.0,0.0,0.0,0.0,1011515.0,0.0,0.0,0.0,25.0,2.0,1.25,1505.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
14,2020-03-14,0.0,0.0,0.0,0.0,0.0,1011515.0,0.0,0.0,0.0,25.0,2.0,1.25,1505.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
15,2020-03-15,0.0,2.0,0.0,0.0,0.0,1011514.0,0.0,0.0,0.0,25.0,2.0,1.25,1505.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
16,2020-03-16,0.0,2.0,0.0,0.0,0.0,1011514.0,0.0,0.0,0.0,25.0,2.0,1.25,1505.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
17,2020-03-17,0.0,3.0,0.0,0.0,0.0,1011513.0,0.0,0.0,0.0,25.0,2.0,1.25,1505.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
18,2020-03-18,0.0,4.0,0.0,0.0,0.0,1011512.0,0.0,0.0,0.0,25.0,2.0,1.25,1505.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
19,2020-03-19,0.0,4.0,0.0,0.0,0.0,1011512.0,0.0,0.0,0.0,20.0,2.0,1.25,1505.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.25,1.0,1.0,1.0,1.0
20,2020-03-20,0.0,5.0,0.0,0.0,0.0,1011511.0,0.0,0.0,0.0,20.0,2.0,1.25,1505.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.25,1.0,1.0,1.0,1.0
21,2020-03-21,1.0,5.0,0.0,0.0,0.0,1011510.0,0.0,0.0,0.0,20.0,2.0,1.25,1505.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.25,1.0,1.0,1.0,1.0
22,2020-03-22,1.0,5.0,0.0,0.0,0.0,1011510.0,0.0,0.0,0.0,12.0,2.0,1.25,1505.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.25,0.8,1.0,1.0,1.0
23,2020-03-23,3.0,6.0,0.0,0.0,0.0,1011509.0,0.0,0.0,0.0,12.0,2.0,1.25,1505.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.25,0.8,1.0,1.0,1.0
24,2020-03-24,4.0,6.0,0.0,0.0,0.0,1011508.0,0.0,0.0,0.0,12.0,2.0,1.25,1505.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.25,0.8,1.0,1.0,1.0
25,2020-03-25,4.0,8.0,0.0,0.0,0.0,1011506.0,0.0,0.0,0.0,12.0,2.0,1.25,1505.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.25,0.8,1.0,1.0,1.0
26,2020-03-26,5.0,9.0,0.0,0.0,0.0,1011504.0,0.0,0.0,0.0,12.0,2.0,1.25,1505.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.25,0.8,1.0,1.0,1.0
27,2020-03-27,6.0,10.0,0.0,0.0,0.0,1011502.0,0.0,0.0,0.0,10.0,2.0,1.25,1505.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,0.8,1.0,1.0,1.0
28,2020-03-28,7.0,10.0,0.0,0.0,0.0,1011501.0,0.0,0.0,0.0,10.0,2.0,1.25,1505.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,0.8,1.0,1.0,1.0
29,2020-03-29,7.0,10.0,1.0,0.0,0.0,1011500.0,0.0,0.0,0.0,10.0,2.0,1.25,1505.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,0.8,1.0,1.0,1.0
30,2020-03-30,7.0,10.0,1.0,0.0,0.0,1011500.0,0.0,0.0,0.0,7.0,2.0,1.25,1505.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,0.0,1.0,1.0,1.0
31,2020-03-31,8.0,11.0,1.0,0.0,0.0,1011498.0,0.0,0.0,0.0,7.0,2.0,1.25,1505.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,0.0,1.0,1.0,1.0
32,2020-04-01,12.0,8.0,1.0,0.0,0.0,1011497.0,0.0,0.0,0.0,7.0,2.0,1.25,1505.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,0.0,1.0,1.0,1.0
33,2020-04-02,11.0,9.0,2.0,0.0,0.0,1011496.0,0.0,0.0,0.0,7.0,2.0,1.25,1505.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,0.0,1.0,1.0,1.0
34,2020-04-03,13.0,9.0,2.0,0.0,0.0,1011494.0,0.0,0.0,0.0,7.0,2.0,1.25,1505.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,0.0,1.0,1.0,1.0
35,2020-04-04,15.0,8.0,2.0,1.0,0.0,1011492.0,0.0,0.0,0.0,7.0,2.0,1.25,1505.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,0.0,1.0,1.0,1.0
36,2020-04-05,16.0,9.0,2.0,1.0,0.0,1011490.0,0.0,0.0,0.0,7.0,2.0,1.25,1505.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,0.0,1.0,1.0,1.0
37,2020-04-06,16.0,11.0,2.0,1.0,0.0,1011488.0,0.0,0.0,0.0,7.0,2.0,1.25,1505.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,0.0,1.0,1.0,1.0
38,2020-04-07,17.0,12.0,2.0,0.0,0.0,1011486.0,0.0,1.0,0.0,7.0,2.0,1.25,1505.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,0.0,1.0,1.0,1.0
39,2020-04-08,17.0,16.0,2.0,0.0,0.0,1011482.0,0.0,1.0,0.0,7.0,2.0,1.25,1505.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,0.0,1.0,1.0,1.0
40,2020-04-09,17.0,17.0,2.0,0.0,0.0,1011481.0,0.0,1.0,0.0,7.0,2.0,1.25,1505.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,0.0,1.0,1.0,1.0
41,2020-04-10,20.0,20.0,2.0,0.0,1.0,1011474.0,0.0,1.0,0.0,7.0,2.0,1.25,1505.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,0.0,1.0,1.0,1.0
42,2020-04-11,23.0,21.0,2.0,0.0,1.0,1011470.0,0.0,1.0,0.0,7.0,2.0,1.25,1505.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,0.0,1.0,1.0,1.0
43,2020-04-12,25.0,23.0,2.0,0.0,2.0,1011465.0,0.0,1.0,0.0,7.0,2.0,1.25,1505.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,0.0,1.0,1.0,1.0
44,2020-04-13,24.0,24.0,2.0,1.0,3.0,1011463.0,0.0,1.0,0.0,7.0,2.0,1.25,1505.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,0.0,1.0,1.0,1.0
